year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
2038	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2039	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2040	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2041	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2042	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2043	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2044	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2045	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
